"concept_id","current_domain_id","current_module_id","current_label_zh","current_semantic_kind","current_primary_parent_relation_id","current_depth","current_root_status","lexical_family","definition_family","decision","target_domain_id","target_module_id","proposed_label_zh","proposed_semantic_kind","proposed_primary_parent_relation_id","proposed_backbone_relation_id","convert_to_field_of","convert_to_allowed_value_of","merge_into_id","split_into_ids","required_relation_changes","owner_rationale","source_ids","positive_example_id","boundary_example_id","domain_reviewer","ontology_reviewer","language_reviewer","review_status"
"EvaluatorOptimizerLoop","","","","","","","","评估者—优化器循环","activity","add","orchestration-plane","orchestration-evaluation","评估者—优化器循环","activity","EvaluatorOptimizerLoop-is_a-ImprovementLoop","EvaluatorOptimizerLoop-is_a-ImprovementLoop","","","","","new reviewed concept; no v2 record to migrate","改进循环编排按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","EvaluatorOptimizerLoop-example-positive-001","EvaluatorOptimizerLoop-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"FeedbackRouting","orchestration-plane","orchestration-evaluation","反馈路由","activity","FeedbackRouting-is_a-ReviewCoordination","1","","反馈路由","activity","keep","orchestration-plane","orchestration-evaluation","反馈路由","activity","FeedbackRouting-is_a-ReviewCoordination","FeedbackRouting-is_a-ReviewCoordination","","","","","reviewed without relation replacement","改进循环编排按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","FeedbackRouting-example-positive-001","FeedbackRouting-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ImprovementAttempt","orchestration-plane","orchestration-evaluation","改进尝试","activity","","0","unreviewed-v2-root","改进尝试","activity","keep","orchestration-plane","orchestration-evaluation","改进尝试","activity","","ImprovementLoop-contains_attempt-ImprovementAttempt","","","","","reviewed without relation replacement","改进循环编排按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","ImprovementAttempt-example-positive-001","ImprovementAttempt-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ImprovementLoop","orchestration-plane","orchestration-evaluation","改进循环","activity","","0","unreviewed-v2-root","改进循环","activity","keep","orchestration-plane","orchestration-evaluation","改进循环","activity","","","","","","","reviewed without relation replacement","改进循环编排按 identity、semantic kind 和主问题唯一拥有该概念。","lit-agent-conductor|lit-mech-reflexion","ImprovementLoop-example-positive-001","ImprovementLoop-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"OptimizerState","orchestration-plane","orchestration-evaluation","优化器状态","state","","0","unreviewed-v2-root","优化器状态","state","keep","orchestration-plane","orchestration-evaluation","优化器状态","state","","ImprovementAttempt-updates-OptimizerState","","","","","reviewed without relation replacement","改进循环编排按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","OptimizerState-example-positive-001","OptimizerState-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ReviewAssignment","orchestration-plane","orchestration-evaluation","审核分派","specification","","0","unreviewed-v2-root","审核分派","specification","keep","orchestration-plane","orchestration-evaluation","审核分派","specification","","","","","","","reviewed without relation replacement","改进循环编排按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","ReviewAssignment-example-positive-001","ReviewAssignment-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ReviewCoordination","orchestration-plane","orchestration-evaluation","审核协调活动","activity","","0","unreviewed-v2-root","审核协调","activity","keep","orchestration-plane","orchestration-evaluation","审核协调活动","activity","","","","","","","reviewed without relation replacement","改进循环编排按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-guardrails|lit-agent-conductor","ReviewCoordination-example-positive-001","ReviewCoordination-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ReviewRevisionLoop","","","","","","","","审查—修订循环","activity","add","orchestration-plane","orchestration-evaluation","审查—修订循环","activity","ReviewRevisionLoop-is_a-ImprovementLoop","ReviewRevisionLoop-is_a-ImprovementLoop","","","","","new reviewed concept; no v2 record to migrate","改进循环编排按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","ReviewRevisionLoop-example-positive-001","ReviewRevisionLoop-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"RevisionAttempt","","","","","","","","修订尝试","activity","add","orchestration-plane","orchestration-evaluation","修订尝试","activity","RevisionAttempt-is_a-ImprovementAttempt","RevisionAttempt-is_a-ImprovementAttempt","","","","","new reviewed concept; no v2 record to migrate","改进循环编排按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","RevisionAttempt-example-positive-001","RevisionAttempt-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"StopRetryLineage","orchestration-plane","orchestration-evaluation","停止重试脉络","information","StopRetryLineage-is_a-RevisionArtifact","1","","停止重试脉络","information","keep","orchestration-plane","orchestration-evaluation","停止重试脉络","information","StopRetryLineage-is_a-RevisionArtifact","","","","","","reviewed without relation replacement","改进循环编排按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","StopRetryLineage-example-positive-001","StopRetryLineage-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ThinkAsTool","orchestration-plane","orchestration-evaluation","工具式审议","activity","","0","unreviewed-v2-root","工具式审议","activity","keep","orchestration-plane","orchestration-evaluation","工具式审议","activity","","","","","","","reviewed without relation replacement","改进循环编排按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-tracing|lit-mech-compass","ThinkAsTool-example-positive-001","ThinkAsTool-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"BranchCondition","orchestration-plane","orchestration-routing-control","分支条件","specification","BranchCondition-is_a-RoutingCondition","2","","分支条","specification","keep","orchestration-plane","orchestration-routing-control","分支条件","specification","BranchCondition-is_a-RoutingCondition","BranchCondition-is_a-RoutingCondition","","","","","reviewed without relation replacement","路由与门控按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","BranchCondition-example-positive-001","BranchCondition-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ControlGate","orchestration-plane","orchestration-routing-control","控制闸门能力","capability","","0","unreviewed-v2-root","控制闸门能力","capability","keep","orchestration-plane","orchestration-routing-control","控制闸门能力","capability","","","","","","","reviewed without relation replacement","路由与门控按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-guardrails|lit-agent-safeagent","ControlGate-example-positive-001","ControlGate-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"DownstreamOperation","orchestration-plane","orchestration-routing-control","下游操作","information","","0","unreviewed-v2-root","下游操作","information","keep","orchestration-plane","orchestration-routing-control","下游操作","information","","GateOutcome-triggers-DownstreamOperation","","","","","reviewed without relation replacement","路由与门控按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","DownstreamOperation-example-positive-001","DownstreamOperation-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Gate","orchestration-plane","orchestration-routing-control","控制闸门","capability","Gate-is_a-ControlGate","1","","控制闸门","capability","keep","orchestration-plane","orchestration-routing-control","控制闸门","capability","Gate-is_a-ControlGate","Gate-is_a-ControlGate","","","","","reviewed without relation replacement","路由与门控按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-guardrails|lit-agent-safeagent","Gate-example-positive-001","Gate-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"GateCondition","orchestration-plane","orchestration-routing-control","闸门条件","specification","GateCondition-is_a-RoutingCondition","2","","闸门条","specification","keep","orchestration-plane","orchestration-routing-control","闸门条件","specification","GateCondition-is_a-RoutingCondition","GateCondition-is_a-RoutingCondition","","","","","reviewed without relation replacement","路由与门控按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","GateCondition-example-positive-001","GateCondition-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"GateOutcome","orchestration-plane","orchestration-routing-control","闸门结果","state","","0","unreviewed-v2-root","闸门","state","keep","orchestration-plane","orchestration-routing-control","闸门结果","state","","Gate-produces-GateOutcome","","","","","reviewed without relation replacement","路由与门控按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","GateOutcome-example-positive-001","GateOutcome-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"RetryPolicy","orchestration-plane","orchestration-routing-control","重试策略","specification","RetryPolicy-is_a-RoutingSpecification","1","","重试策略","specification","keep","orchestration-plane","orchestration-routing-control","重试策略","specification","RetryPolicy-is_a-RoutingSpecification","RetryPolicy-is_a-RoutingSpecification","","","","","reviewed without relation replacement","路由与门控按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","RetryPolicy-example-positive-001","RetryPolicy-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Route","orchestration-plane","orchestration-routing-control","路线","specification","Route-is_a-RoutingSpecification","1","","路线","specification","keep","orchestration-plane","orchestration-routing-control","路线","specification","Route-is_a-RoutingSpecification","Route-is_a-RoutingSpecification","","","","","reviewed without relation replacement","路由与门控按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langgraph-docs|lit-agent-conductor","Route-example-positive-001","Route-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"RoutingCondition","orchestration-plane","orchestration-routing-control","路由条件","specification","RoutingCondition-is_a-RoutingSpecification","1","","路由条","specification","keep","orchestration-plane","orchestration-routing-control","路由条件","specification","RoutingCondition-is_a-RoutingSpecification","RoutingCondition-is_a-RoutingSpecification","","","","","reviewed without relation replacement","路由与门控按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langgraph-docs|eng-fw-openai-guardrails","RoutingCondition-example-positive-001","RoutingCondition-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"RoutingDecision","orchestration-plane","orchestration-routing-control","路由决策","event","","0","unreviewed-v2-root","路由决策","event","keep","orchestration-plane","orchestration-routing-control","路由决策","event","","","","","","","reviewed without relation replacement","路由与门控按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","RoutingDecision-example-positive-001","RoutingDecision-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"RoutingPolicy","orchestration-plane","orchestration-routing-control","路由策略","specification","RoutingPolicy-is_a-RoutingSpecification","1","","路由策略","specification","keep","orchestration-plane","orchestration-routing-control","路由策略","specification","RoutingPolicy-is_a-RoutingSpecification","RoutingPolicy-is_a-RoutingSpecification","","","","","reviewed without relation replacement","路由与门控按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","RoutingPolicy-example-positive-001","RoutingPolicy-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"RoutingSpecification","orchestration-plane","orchestration-routing-control","路由规约","specification","","0","unreviewed-v2-root","路由约","specification","keep","orchestration-plane","orchestration-routing-control","路由规约","specification","","","","","","","reviewed without relation replacement","路由与门控按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langgraph-docs|lit-agent-conductor","RoutingSpecification-example-positive-001","RoutingSpecification-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"RoutingTarget","orchestration-plane","orchestration-routing-control","路由目标","information","","0","unreviewed-v2-root","路由目标","information","keep","orchestration-plane","orchestration-routing-control","路由目标","information","","Route-points_to-RoutingTarget","","","","","reviewed without relation replacement","路由与门控按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","RoutingTarget-example-positive-001","RoutingTarget-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"StopCondition","orchestration-plane","orchestration-routing-control","停止条件","specification","StopCondition-is_a-RoutingCondition","2","","停止条","specification","keep","orchestration-plane","orchestration-routing-control","停止条件","specification","StopCondition-is_a-RoutingCondition","StopCondition-is_a-RoutingCondition","","","","","reviewed without relation replacement","路由与门控按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","StopCondition-example-positive-001","StopCondition-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Goal","orchestration-plane","orchestration-task-planning","目标","specification","Goal-is_a-IntentionalEntity","1","","目标","specification","keep","orchestration-plane","orchestration-task-planning","目标","specification","Goal-is_a-IntentionalEntity","Goal-is_a-IntentionalEntity","","","","","reviewed without relation replacement","目标与任务规划按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","Goal-example-positive-001","Goal-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Intent","orchestration-plane","orchestration-task-planning","行动意图","specification","Intent-is_a-IntentionalEntity","1","","行意图","specification","keep","orchestration-plane","orchestration-task-planning","行动意图","specification","Intent-is_a-IntentionalEntity","Intent-is_a-IntentionalEntity","","","","","reviewed without relation replacement","目标与任务规划按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-a2a-docs|lit-agent-conductor","Intent-example-positive-001","Intent-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"IntentionalEntity","orchestration-plane","orchestration-task-planning","意图性实体","specification","","0","unreviewed-v2-root","意图性实体","specification","keep","orchestration-plane","orchestration-task-planning","意图性实体","specification","","","","","","","reviewed without relation replacement","目标与任务规划按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-a2a-docs|lit-agent-conductor","IntentionalEntity-example-positive-001","IntentionalEntity-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Objective","orchestration-plane","orchestration-task-planning","可度量目标","specification","Objective-is_a-IntentionalEntity","1","","可度量目标","specification","keep","orchestration-plane","orchestration-task-planning","可度量目标","specification","Objective-is_a-IntentionalEntity","Objective-is_a-IntentionalEntity","","","","","reviewed without relation replacement","目标与任务规划按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","Objective-example-positive-001","Objective-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Task","orchestration-plane","orchestration-task-planning","任务","specification","Task-is_a-WorkSpecification","1","","任务","specification","keep","orchestration-plane","orchestration-task-planning","任务","specification","Task-is_a-WorkSpecification","Task-is_a-WorkSpecification","","","","","reviewed without relation replacement","目标与任务规划按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-a2a-docs|lit-agent-orchestrationbench","Task-example-positive-001","Task-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"TaskCompletionCriterion","orchestration-plane","orchestration-task-planning","任务完成判据","specification","TaskCompletionCriterion-is_a-TaskCondition","1","","任务完成判据","specification","keep","orchestration-plane","orchestration-task-planning","任务完成判据","specification","TaskCompletionCriterion-is_a-TaskCondition","TaskCompletionCriterion-is_a-TaskCondition","","","","","reviewed without relation replacement","目标与任务规划按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","TaskCompletionCriterion-example-positive-001","TaskCompletionCriterion-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"TaskCondition","orchestration-plane","orchestration-task-planning","任务条件","specification","","0","unreviewed-v2-root","任务条","specification","keep","orchestration-plane","orchestration-task-planning","任务条件","specification","","","","","","","reviewed without relation replacement","目标与任务规划按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","TaskCondition-example-positive-001","TaskCondition-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"TaskConstraint","orchestration-plane","orchestration-task-planning","任务约束","specification","TaskConstraint-is_a-TaskCondition","1","","任务约束","specification","keep","orchestration-plane","orchestration-task-planning","任务约束","specification","TaskConstraint-is_a-TaskCondition","TaskConstraint-is_a-TaskCondition","","","","","reviewed without relation replacement","目标与任务规划按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","TaskConstraint-example-positive-001","TaskConstraint-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"TaskDependency","orchestration-plane","orchestration-task-planning","任务依赖","specification","TaskDependency-is_a-TaskCondition","1","","任务依赖","specification","keep","orchestration-plane","orchestration-task-planning","任务依赖","specification","TaskDependency-is_a-TaskCondition","TaskDependency-is_a-TaskCondition","","","","","reviewed without relation replacement","目标与任务规划按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","TaskDependency-example-positive-001","TaskDependency-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"TaskPlan","orchestration-plane","orchestration-task-planning","任务计划","specification","TaskPlan-is_a-WorkSpecification","1","","任务计划","specification","keep","orchestration-plane","orchestration-task-planning","任务计划","specification","TaskPlan-is_a-WorkSpecification","TaskPlan-is_a-WorkSpecification","","","","","reviewed without relation replacement","目标与任务规划按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","TaskPlan-example-positive-001","TaskPlan-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"TaskStep","orchestration-plane","orchestration-task-planning","任务步骤","specification","TaskStep-is_a-WorkSpecification","1","","任务步骤","specification","keep","orchestration-plane","orchestration-task-planning","任务步骤","specification","TaskStep-is_a-WorkSpecification","TaskStep-is_a-WorkSpecification","","","","","reviewed without relation replacement","目标与任务规划按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","TaskStep-example-positive-001","TaskStep-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"WorkItem","orchestration-plane","orchestration-task-planning","工作项","specification","WorkItem-is_a-WorkSpecification","1","","工作项","specification","keep","orchestration-plane","orchestration-task-planning","工作项","specification","WorkItem-is_a-WorkSpecification","WorkItem-is_a-WorkSpecification","","","","","reviewed without relation replacement","目标与任务规划按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-langgraph-docs","WorkItem-example-positive-001","WorkItem-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"WorkSpecification","orchestration-plane","orchestration-task-planning","工作规约","specification","","0","unreviewed-v2-root","工作约","specification","keep","orchestration-plane","orchestration-task-planning","工作规约","specification","","","","","","","reviewed without relation replacement","目标与任务规划按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-a2a-docs|lit-agent-orchestrationbench","WorkSpecification-example-positive-001","WorkSpecification-example-boundary-001","moonweave-orchestration-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Actor","runtime-plane","runtime-actors","运行参与主体","entity","","0","unreviewed-v2-root","运行参与主体","entity","keep","runtime-plane","runtime-actors","运行参与主体","entity","","","","","","","reviewed without relation replacement","运行参与者与绑定按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|lit-mas-wooldridge-jennings","Actor-example-positive-001","Actor-example-boundary-001","moonweave-runtime-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ActorAuthorityScope","runtime-plane","runtime-actors","参与者权限范围","specification","","0","unreviewed-v2-root","参与者权限围","specification","merge","runtime-plane","runtime-actors","参与者权限范围","specification","","","","","AuthorityScope","","deprecated references migrate to AuthorityScope","运行参与者与绑定按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langgraph-docs|eng-fw-openai-python-docs","","","moonweave-runtime-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ActorBinding","runtime-plane","runtime-actors","主体绑定记录","information","","0","unreviewed-v2-root","主体绑定","information","keep","runtime-plane","runtime-actors","主体绑定记录","information","","Actor-has_binding-ActorBinding","","","","","reviewed without relation replacement","运行参与者与绑定按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langgraph-docs|eng-fw-openai-python-docs","ActorBinding-example-positive-001","ActorBinding-example-boundary-001","moonweave-runtime-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ActorCapabilityBinding","runtime-plane","runtime-actors","参与者能力绑定","information","ActorCapabilityBinding-is_a-ActorBinding","1","","参与者能力绑定","information","keep","runtime-plane","runtime-actors","参与者能力绑定","information","ActorCapabilityBinding-is_a-ActorBinding","ActorCapabilityBinding-is_a-ActorBinding","","","","","reviewed without relation replacement","运行参与者与绑定按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langgraph-docs|eng-fw-openai-python-docs","ActorCapabilityBinding-example-positive-001","ActorCapabilityBinding-example-boundary-001","moonweave-runtime-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ActorRoleBinding","runtime-plane","runtime-actors","参与者角色绑定","information","ActorRoleBinding-is_a-ActorBinding","1","","参与者绑定","information","keep","runtime-plane","runtime-actors","参与者角色绑定","information","ActorRoleBinding-is_a-ActorBinding","ActorRoleBinding-is_a-ActorBinding","","","","","reviewed without relation replacement","运行参与者与绑定按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langgraph-docs|eng-fw-openai-python-docs","ActorRoleBinding-example-positive-001","ActorRoleBinding-example-boundary-001","moonweave-runtime-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"AgentActor","runtime-plane","runtime-actors","智能体参与者","entity","AgentActor-is_a-SoftwareActor","2","","智能体参与者","entity","keep","runtime-plane","runtime-actors","智能体参与者","entity","AgentActor-is_a-SoftwareActor","AgentActor-is_a-SoftwareActor","","","","","reviewed without relation replacement","运行参与者与绑定按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|lit-mas-bdi-rao-georgeff","AgentActor-example-positive-001","AgentActor-example-boundary-001","moonweave-runtime-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"DeveloperActor","runtime-plane","runtime-actors","开发者参与者","entity","DeveloperActor-is_a-HumanActor","2","","开发者参与者","entity","keep","runtime-plane","runtime-actors","开发者参与者","entity","DeveloperActor-is_a-HumanActor","DeveloperActor-is_a-HumanActor","","","","","reviewed without relation replacement","运行参与者与绑定按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langgraph-docs|eng-fw-openai-python-docs","DeveloperActor-example-positive-001","DeveloperActor-example-boundary-001","moonweave-runtime-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"EmbeddingModel","runtime-plane","runtime-actors","嵌入模型","entity","EmbeddingModel-is_a-Model","1","","嵌入模型","entity","keep","runtime-plane","runtime-actors","嵌入模型","entity","EmbeddingModel-is_a-Model","EmbeddingModel-is_a-Model","","","","","reviewed without relation replacement","运行参与者与绑定按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|lit-mech-compass","EmbeddingModel-example-positive-001","EmbeddingModel-example-boundary-001","moonweave-runtime-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ExternalServiceActor","runtime-plane","runtime-actors","外部服务参与者","entity","ExternalServiceActor-is_a-SoftwareActor","2","","外部服务参与者","entity","keep","runtime-plane","runtime-actors","外部服务参与者","entity","ExternalServiceActor-is_a-SoftwareActor","ExternalServiceActor-is_a-SoftwareActor","","","","","reviewed without relation replacement","运行参与者与绑定按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langgraph-docs|eng-fw-openai-python-docs","ExternalServiceActor-example-positive-001","ExternalServiceActor-example-boundary-001","moonweave-runtime-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"GenerativeModel","runtime-plane","runtime-actors","生成模型","entity","GenerativeModel-is_a-Model","1","","生成模型","entity","keep","runtime-plane","runtime-actors","生成模型","entity","GenerativeModel-is_a-Model","GenerativeModel-is_a-Model","","","","","reviewed without relation replacement","运行参与者与绑定按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|eng-fw-openai-python-docs","GenerativeModel-example-positive-001","GenerativeModel-example-boundary-001","moonweave-runtime-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"HumanActor","runtime-plane","runtime-actors","人类参与主体","entity","HumanActor-is_a-Actor","1","","人类参与主体","entity","keep","runtime-plane","runtime-actors","人类参与主体","entity","HumanActor-is_a-Actor","HumanActor-is_a-Actor","","","","","reviewed without relation replacement","运行参与者与绑定按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-ont-foaf","HumanActor-example-positive-001","HumanActor-example-boundary-001","moonweave-runtime-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
